row_idx,primary_id,aggregate_id,categorical_label
219,710.0075,quant-ph,quant-ph
220,711.4013,gr-qc,gr-qc
221,704.0271,cond-mat,cond-mat
222,706.018,cond-mat,cond-mat
223,707.1836,math,math
224,705.0686,nucl-ex,nucl-ex
225,809.1703,physics,physics
226,809.408,q-bio,q-bio
227,704.2515,hep-ex,hep-ex
228,711.3507,physics,physics
229,712.0947,nucl-th,nucl-th
230,804.1965,astro-ph,astro-ph
231,710.3462,hep-lat,hep-lat
232,803.3034,hep-ph,hep-ph
233,708.1412,math,math
234,809.3617,cond-mat,cond-mat
235,710.0026,math,math
236,705.3127,hep-ph,hep-ph
237,705.3142,math,math
238,801.3138,physics,physics
239,704.1967,nucl-th,nucl-th
240,707.1982,astro-ph,astro-ph
241,708.1262,hep-th,hep-th
242,808.0074,hep-ex,hep-ex
243,710.5194,cs,cs
244,708.4083,astro-ph,astro-ph
245,712.2438,nucl-ex,nucl-ex
246,803.2081,cond-mat,cond-mat
247,706.0476,cond-mat,cond-mat
248,810.2264,gr-qc,gr-qc
249,711.4737,cond-mat,cond-mat
250,809.3012,astro-ph,astro-ph
251,806.0256,astro-ph,astro-ph
252,711.1761,math,math
253,712.4041,astro-ph,astro-ph
254,712.1669,math,math
255,809.0743,math,math
256,706.2294,hep-th,hep-th
257,804.002,hep-ex,hep-ex
258,805.0371,hep-ph,hep-ph
259,810.2821,math,math
260,801.1996,astro-ph,astro-ph
261,803.3447,gr-qc,gr-qc
262,803.1767,quant-ph,quant-ph
263,710.0023,cond-mat,cond-mat
264,807.2224,cond-mat,cond-mat
265,805.4713,cond-mat,cond-mat
266,712.43,astro-ph,astro-ph
267,812.1739,gr-qc,gr-qc
268,706.3564,cond-mat,cond-mat
269,806.3423,cond-mat,cond-mat
270,712.0511,astro-ph,astro-ph
271,712.2968,hep-ph,hep-ph
272,710.4051,math,math
273,803.4385,cond-mat,cond-mat
274,811.4061,cs,cs
275,708.4304,cond-mat,cond-mat
276,707.4443,quant-ph,quant-ph
277,804.0164,hep-th,hep-th
278,812.2273,math,math
279,709.1787,math,math
280,802.2945,astro-ph,astro-ph
281,804.2719,astro-ph,astro-ph
282,710.4397,astro-ph,astro-ph
283,805.0064,nucl-th,nucl-th
284,811.1177,physics,physics
285,809.0536,cs,cs
286,802.4428,nlin,nlin
287,711.0987,math,math
288,809.2714,q-bio,q-bio
289,807.2915,astro-ph,astro-ph
290,806.1233,cond-mat,cond-mat
291,810.3228,physics,physics
292,706.4435,astro-ph,astro-ph
293,705.4255,physics,physics
294,811.2028,math,math
295,707.0744,cs,cs
296,710.3955,cs,cs
297,807.1865,astro-ph,astro-ph
298,708.2441,math,math
299,804.1891,cond-mat,cond-mat
300,708.3098,q-bio,q-bio
301,711.3802,nucl-th,nucl-th
302,705.4523,math-ph,math-ph
303,808.2139,astro-ph,astro-ph
304,808.127,math,math
305,808.1519,math,math
306,812.371,math,math
307,811.0919,gr-qc,gr-qc
308,710.2828,cond-mat,cond-mat
309,711.1915,cond-mat,cond-mat
310,707.3715,math,math
311,802.2686,gr-qc,gr-qc
312,805.1437,cs,cs
313,707.1058,math,math
314,803.0416,gr-qc,gr-qc
315,705.4026,physics,physics
316,710.1974,cond-mat,cond-mat
317,806.3406,cond-mat,cond-mat
318,806.4798,cond-mat,cond-mat
319,711.1471,math,math
320,801.0876,physics,physics
321,711.3902,hep-ph,hep-ph
322,812.09,hep-ph,hep-ph
323,805.2165,quant-ph,quant-ph
324,711.4063,math,math
325,806.3215,cs,cs
326,706.0737,cond-mat,cond-mat
327,810.0421,physics,physics
328,707.3788,astro-ph,astro-ph
329,708.3763,math,math
330,805.0284,math,math
331,805.0596,astro-ph,astro-ph
332,810.1222,nucl-th,nucl-th
333,806.1489,physics,physics
334,808.3238,math,math
335,711.1604,math,math
336,801.0681,physics,physics
337,811.0245,cond-mat,cond-mat
338,807.4445,cond-mat,cond-mat
339,710.2772,cond-mat,cond-mat
340,712.0685,math-ph,math-ph
341,808.0994,cond-mat,cond-mat
342,812.0961,nlin,nlin
343,709.2361,astro-ph,astro-ph
344,805.0637,astro-ph,astro-ph
345,806.3742,nucl-th,nucl-th
346,706.3244,hep-th,hep-th
347,707.299,nucl-th,nucl-th
348,802.0142,astro-ph,astro-ph
349,711.1713,math,math
350,707.0936,quant-ph,quant-ph
351,810.5071,hep-ph,hep-ph
352,812.2308,cond-mat,cond-mat
353,707.4332,math,math
354,805.2308,cs,cs
355,711.0183,physics,physics
356,808.3676,math,math
357,810.5211,cond-mat,cond-mat
358,811.2012,math,math
359,708.0441,nucl-th,nucl-th
360,801.1522,math,math
361,711.2175,physics,physics
362,805.0215,physics,physics
363,710.0434,hep-lat,hep-lat
364,809.5121,hep-lat,hep-lat
365,707.0627,astro-ph,astro-ph
366,704.1729,astro-ph,astro-ph
367,806.0087,q-bio,q-bio
368,705.3675,cond-mat,cond-mat
369,807.2321,math,math
370,806.3682,math,math
371,705.1436,math,math
372,807.2387,cond-mat,cond-mat
373,711.1698,math,math
374,705.445,physics,physics
375,705.2232,astro-ph,astro-ph
376,804.03,hep-lat,hep-lat
377,801.1741,cond-mat,cond-mat
378,807.2668,quant-ph,quant-ph
379,708.039,math,math
380,807.1566,quant-ph,quant-ph
381,706.2686,math,math
382,803.1307,nucl-th,nucl-th
383,803.2636,math,math
384,804.4464,math,math
385,705.023,cond-mat,cond-mat
386,806.0136,cond-mat,cond-mat
387,704.0227,nucl-ex,nucl-ex
388,712.0129,cond-mat,cond-mat
389,807.4837,physics,physics
390,706.3026,hep-lat,hep-lat
391,810.4219,quant-ph,quant-ph
392,809.4429,math,math
393,706.2964,quant-ph,quant-ph
394,805.2615,astro-ph,astro-ph
395,708.048,math,math
396,804.3185,hep-ph,hep-ph
397,710.4891,hep-ph,hep-ph
398,711.2995,nucl-th,nucl-th
399,806.4544,astro-ph,astro-ph
400,806.2828,math,math
401,801.1972,math,math
402,712.151,math-ph,math-ph
403,807.0764,math,math
404,802.3969,stat,stat
405,802.2511,physics,physics
406,810.1109,physics,physics
407,804.4725,quant-ph,quant-ph
408,804.4491,astro-ph,astro-ph
409,704.0088,physics,physics
410,808.1071,astro-ph,astro-ph
411,803.0227,hep-ph,hep-ph
412,809.1857,quant-ph,quant-ph
413,801.1406,astro-ph,astro-ph
414,811.3829,astro-ph,astro-ph
415,810.2897,astro-ph,astro-ph
416,805.0828,math,math
417,710.3936,math,math
418,802.3469,math,math
419,807.3962,nucl-th,nucl-th
420,706.4064,quant-ph,quant-ph
421,711.3614,cond-mat,cond-mat
422,706.1251,hep-ph,hep-ph
423,708.0522,cs,cs
424,811.0868,astro-ph,astro-ph
425,810.515,astro-ph,astro-ph
426,706.371,cs,cs
427,811.3569,hep-th,hep-th
428,711.0909,math,math
429,704.1231,math,math
430,708.2483,gr-qc,gr-qc
431,808.1911,hep-th,hep-th
432,712.2429,hep-lat,hep-lat
433,802.3565,cond-mat,cond-mat
434,805.4232,astro-ph,astro-ph
435,812.2339,physics,physics
436,809.365,physics,physics
437,711.2748,nucl-th,nucl-th
438,808.0477,hep-ph,hep-ph
439,704.1046,math,math
440,812.1669,cond-mat,cond-mat
441,705.1935,cond-mat,cond-mat
442,804.1408,math,math
443,705.3893,hep-th,hep-th
444,810.1905,math-ph,math-ph
445,707.44,astro-ph,astro-ph
446,803.1304,math,math
447,706.2455,math,math
448,812.081,astro-ph,astro-ph
449,802.3193,hep-ph,hep-ph
450,711.033,astro-ph,astro-ph
451,809.2214,cs,cs
452,711.3404,hep-th,hep-th
453,806.1911,hep-th,hep-th
454,811.3052,cond-mat,cond-mat
455,809.47,physics,physics
456,805.0945,cs,cs
457,805.4566,physics,physics
458,712.2325,cond-mat,cond-mat
459,707.3191,astro-ph,astro-ph
460,803.4178,math,math
461,710.1727,astro-ph,astro-ph
462,709.1692,astro-ph,astro-ph
463,705.3856,astro-ph,astro-ph
464,811.286,math,math
465,805.2174,astro-ph,astro-ph
466,802.2901,math,math
467,803.3478,quant-ph,quant-ph
468,812.2214,gr-qc,gr-qc
469,707.0535,astro-ph,astro-ph
470,707.0409,gr-qc,gr-qc
471,711.1678,astro-ph,astro-ph
472,811.2269,cond-mat,cond-mat
473,704.2105,quant-ph,quant-ph
474,807.3367,hep-ex,hep-ex
475,810.0309,quant-ph,quant-ph
476,812.378,math-ph,math-ph
477,804.015,physics,physics
478,810.0923,gr-qc,gr-qc
479,706.3783,cond-mat,cond-mat
480,707.1608,gr-qc,gr-qc
481,710.0596,math,math
482,812.185,astro-ph,astro-ph
483,801.3795,cond-mat,cond-mat
484,802.2071,hep-ph,hep-ph
485,704.1333,math,math
486,704.2361,math,math
487,809.2125,math,math
488,801.2821,gr-qc,gr-qc
489,705.3839,math,math
490,810.0711,astro-ph,astro-ph
491,711.3142,math,math
492,708.0294,cond-mat,cond-mat
493,806.4732,math,math
494,808.2671,astro-ph,astro-ph
495,811.2883,cond-mat,cond-mat
496,803.073,physics,physics
497,810.3315,hep-ph,hep-ph
498,804.2989,hep-th,hep-th
499,708.1811,gr-qc,gr-qc
500,802.2528,cs,cs
501,704.1323,cond-mat,cond-mat
502,711.4731,cond-mat,cond-mat
503,708.2235,math,math
504,810.2786,hep-th,hep-th
505,811.1543,cond-mat,cond-mat
506,806.3574,hep-th,hep-th
507,709.4321,cond-mat,cond-mat
508,712.1957,math,math
509,807.4305,hep-ex,hep-ex
510,803.2218,hep-ph,hep-ph
511,802.2376,physics,physics
512,807.4968,hep-th,hep-th
513,709.309,hep-th,hep-th
514,710.0786,hep-ex,hep-ex
515,708.0154,cond-mat,cond-mat
516,709.0407,gr-qc,gr-qc
517,802.3083,cs,cs
518,804.2759,cond-mat,cond-mat
519,801.1117,hep-th,hep-th
520,704.2281,hep-ph,hep-ph
521,808.1832,astro-ph,astro-ph
522,811.4773,cs,cs
523,808.1515,math-ph,math-ph
524,710.4484,math,math
525,710.4975,cs,cs
526,707.2638,astro-ph,astro-ph
527,809.5249,cond-mat,cond-mat
528,707.2325,quant-ph,quant-ph
529,808.1299,math,math
530,804.1657,hep-ph,hep-ph
531,708.1098,cond-mat,cond-mat
532,709.0318,cond-mat,cond-mat
533,705.2746,cond-mat,cond-mat
534,809.0281,hep-ph,hep-ph
535,803.131,math,math
536,704.1403,math,math
537,711.4889,hep-ex,hep-ex
538,805.3502,astro-ph,astro-ph
539,808.3828,gr-qc,gr-qc
540,709.1522,hep-th,hep-th
541,710.3471,hep-th,hep-th
542,804.2755,physics,physics
543,708.2479,cond-mat,cond-mat
544,811.43,hep-lat,hep-lat
545,704.0884,math,math
546,712.3594,astro-ph,astro-ph
547,707.0868,hep-th,hep-th
548,801.2642,hep-ex,hep-ex
549,710.5918,astro-ph,astro-ph
550,808.3236,hep-th,hep-th
551,704.3254,math,math
552,704.2938,astro-ph,astro-ph
553,711.3946,astro-ph,astro-ph
554,709.2774,cond-mat,cond-mat
555,709.1129,math,math
556,809.17,math,math
557,804.0014,astro-ph,astro-ph
558,704.1319,physics,physics
559,811.3932,cond-mat,cond-mat
560,710.5645,astro-ph,astro-ph
561,810.0674,cs,cs
562,808.3862,quant-ph,quant-ph
563,805.2603,physics,physics
564,711.4216,astro-ph,astro-ph
565,704.135,gr-qc,gr-qc
566,705.0788,quant-ph,quant-ph
567,812.0468,math-ph,math-ph
568,810.1865,math,math
569,810.2028,cond-mat,cond-mat
570,809.4041,astro-ph,astro-ph
571,804.1855,cond-mat,cond-mat
572,708.0783,hep-th,hep-th
573,704.3394,astro-ph,astro-ph
574,807.1235,astro-ph,astro-ph
575,711.4695,quant-ph,quant-ph
576,706.276,cond-mat,cond-mat
577,811.0816,gr-qc,gr-qc
578,711.0162,math,math
579,811.1916,gr-qc,gr-qc
580,804.3529,gr-qc,gr-qc
581,805.04,math,math
582,802.2363,astro-ph,astro-ph
583,706.2374,astro-ph,astro-ph
584,704.1551,quant-ph,quant-ph
585,809.0458,cs,cs
586,705.0508,cond-mat,cond-mat
587,709.4173,math,math
588,810.1129,hep-lat,hep-lat
589,809.2711,astro-ph,astro-ph
590,808.4034,gr-qc,gr-qc
591,802.0781,quant-ph,quant-ph
592,707.3131,cond-mat,cond-mat
593,707.4324,nucl-th,nucl-th
594,810.0119,astro-ph,astro-ph
595,805.0528,quant-ph,quant-ph
596,802.1851,physics,physics
597,806.4159,astro-ph,astro-ph
598,812.0096,math,math
599,803.0652,cond-mat,cond-mat
600,812.1367,math,math
601,706.0407,astro-ph,astro-ph
602,705.2265,nlin,nlin
603,809.1531,math-ph,math-ph
604,712.2282,gr-qc,gr-qc
605,806.3312,nlin,nlin
606,804.1583,math,math
607,803.1231,hep-ph,hep-ph
608,810.3666,hep-ex,hep-ex
609,709.4608,astro-ph,astro-ph
610,805.1419,hep-ph,hep-ph
611,802.0448,math,math
612,712.3069,math,math
613,707.0758,astro-ph,astro-ph
614,811.3601,astro-ph,astro-ph
615,708.0891,math,math
616,704.1058,gr-qc,gr-qc
617,705.0335,cond-mat,cond-mat
618,711.1278,hep-ph,hep-ph
619,812.0379,astro-ph,astro-ph
620,704.203,math,math
621,704.1431,math,math
622,711.2191,math,math
623,711.1039,cond-mat,cond-mat
624,803.3615,physics,physics
625,709.0559,hep-th,hep-th
626,807.2653,astro-ph,astro-ph
627,709.3004,astro-ph,astro-ph
628,805.2857,cond-mat,cond-mat
629,707.1635,math,math
630,804.4018,astro-ph,astro-ph
631,802.2781,quant-ph,quant-ph
632,710.4644,cs,cs
633,704.0586,astro-ph,astro-ph
634,711.4012,hep-ph,hep-ph
635,708.3481,quant-ph,quant-ph
636,712.1535,math,math
637,706.3847,astro-ph,astro-ph
638,712.2894,gr-qc,gr-qc
639,806.2303,cond-mat,cond-mat
640,801.059,cs,cs
641,705.1213,math,math
642,809.272,nlin,nlin
643,712.2278,physics,physics
644,805.3096,gr-qc,gr-qc
645,810.2964,hep-th,hep-th
646,704.0834,cs,cs
647,712.3351,cond-mat,cond-mat
648,808.321,math,math
649,711.2123,math,math
650,806.0689,cs,cs
651,805.4466,gr-qc,gr-qc
652,708.0634,math,math
653,711.0441,hep-th,hep-th
654,707.0381,hep-ph,hep-ph
655,811.3908,astro-ph,astro-ph
656,707.4502,math,math
657,709.088,cond-mat,cond-mat
658,804.485,physics,physics
659,806.3827,cs,cs
660,812.086,astro-ph,astro-ph
661,711.2861,q-bio,q-bio
662,711.0567,cond-mat,cond-mat
663,707.1098,math,math
664,708.4335,nlin,nlin
665,707.1852,math,math
666,706.3282,math,math
667,710.1618,cond-mat,cond-mat
668,709.3576,hep-ph,hep-ph
669,704.0279,astro-ph,astro-ph
670,808.005,hep-ex,hep-ex
671,705.2146,hep-th,hep-th
672,805.0119,math,math
673,808.1827,math,math
674,707.0979,astro-ph,astro-ph
675,801.4812,q-bio,q-bio
676,710.257,quant-ph,quant-ph
677,706.1363,math,math
678,803.1585,astro-ph,astro-ph
679,807.4316,math,math
680,708.2761,math,math
681,711.1394,astro-ph,astro-ph
682,804.3117,math,math
683,712.0799,astro-ph,astro-ph
684,710.4173,stat,stat
685,801.4172,math,math
686,710.4471,hep-th,hep-th
687,704.1573,astro-ph,astro-ph
688,808.1924,physics,physics
689,803.1323,cs,cs
690,710.0858,cond-mat,cond-mat
691,812.0684,cond-mat,cond-mat
692,812.1523,hep-ph,hep-ph
693,707.2672,math,math
694,803.1092,hep-lat,hep-lat
695,802.284,hep-th,hep-th
696,710.059,astro-ph,astro-ph
697,706.3169,hep-th,hep-th
698,712.3172,math,math
699,712.302,q-bio,q-bio
700,808.208,math,math
701,806.4838,q-bio,q-bio
702,810.0327,quant-ph,quant-ph
703,806.4213,math,math
704,707.4077,hep-ex,hep-ex
705,810.5751,astro-ph,astro-ph
706,807.3418,astro-ph,astro-ph
707,707.0565,cond-mat,cond-mat
708,807.454,hep-th,hep-th
709,708.1927,math,math
710,705.4091,astro-ph,astro-ph
711,811.1181,hep-th,hep-th
712,809.19,cs,cs
713,806.147,cond-mat,cond-mat
714,801.435,physics,physics
715,807.3264,hep-ph,hep-ph
716,803.2808,cond-mat,cond-mat
717,805.0283,math,math
718,710.4074,cond-mat,cond-mat
719,704.213,cond-mat,cond-mat
720,811.3832,math,math
721,706.3177,q-bio,q-bio
722,803.3282,cond-mat,cond-mat
723,707.1254,astro-ph,astro-ph
724,803.039,gr-qc,gr-qc
725,706.0475,cond-mat,cond-mat
726,801.0338,cond-mat,cond-mat
727,705.3313,astro-ph,astro-ph
728,704.2181,cond-mat,cond-mat
729,806.1345,math,math
730,706.0914,astro-ph,astro-ph
731,711.2844,cs,cs
732,710.3517,astro-ph,astro-ph
733,706.1885,astro-ph,astro-ph
734,810.0187,math,math
735,705.2173,cond-mat,cond-mat
736,710.4249,hep-th,hep-th
737,808.1325,hep-ex,hep-ex
738,704.1222,astro-ph,astro-ph
739,807.3455,cond-mat,cond-mat
740,711.4145,nucl-ex,nucl-ex
741,707.312,cond-mat,cond-mat
742,709.3187,physics,physics
743,711.067,hep-ph,hep-ph
744,704.0656,math,math
745,801.1056,physics,physics
746,805.3655,nucl-th,nucl-th
747,711.4799,quant-ph,quant-ph
748,802.2897,math,math
749,805.362,math,math
750,711.138,gr-qc,gr-qc
751,705.0048,astro-ph,astro-ph
752,810.1492,cond-mat,cond-mat
753,809.148,gr-qc,gr-qc
754,807.0003,astro-ph,astro-ph
755,705.0365,cond-mat,cond-mat
756,804.0066,cs,cs
757,801.359,hep-ex,hep-ex
758,801.4041,astro-ph,astro-ph
759,810.531,math,math
760,705.1071,math,math
761,711.3098,hep-ph,hep-ph
762,706.1815,quant-ph,quant-ph
763,803.4169,cond-mat,cond-mat
764,706.2328,q-bio,q-bio
765,808.3995,astro-ph,astro-ph
766,712.2117,astro-ph,astro-ph
767,806.3562,math,math
768,706.01,physics,physics
769,804.4439,astro-ph,astro-ph
770,803.3671,cond-mat,cond-mat
771,811.3988,physics,physics
772,708.1361,quant-ph,quant-ph
773,811.3129,quant-ph,quant-ph
774,712.3125,astro-ph,astro-ph
775,704.379,hep-ph,hep-ph
776,810.4512,nucl-th,nucl-th
777,804.1837,q-fin,q-fin
778,709.0241,hep-th,hep-th
779,708.0068,quant-ph,quant-ph
780,812.0508,physics,physics
781,705.4567,hep-ph,hep-ph
782,810.2594,hep-th,hep-th
783,801.3467,quant-ph,quant-ph
784,807.2845,cond-mat,cond-mat
785,707.229,math-ph,math-ph
786,705.4309,math,math
787,805.2934,math,math
788,706.0974,astro-ph,astro-ph
789,704.0857,astro-ph,astro-ph
790,804.114,math,math
791,712.209,physics,physics
792,708.3326,math,math
793,809.5282,math,math
794,708.4302,hep-ph,hep-ph
795,806.0016,gr-qc,gr-qc
796,706.2782,math,math
797,805.4804,cond-mat,cond-mat
798,711.4345,math,math
799,807.1382,physics,physics
800,809.285,physics,physics
801,708.2431,astro-ph,astro-ph
802,706.3701,quant-ph,quant-ph
803,710.2922,quant-ph,quant-ph
804,808.2656,hep-ph,hep-ph
805,806.3404,astro-ph,astro-ph
806,706.2213,math,math
807,709.0474,math-ph,math-ph
808,704.1415,math,math
809,710.4005,physics,physics
810,804.0555,gr-qc,gr-qc
811,712.1014,cs,cs
812,710.5253,astro-ph,astro-ph
813,806.2831,stat,stat
814,801.3364,gr-qc,gr-qc
815,807.1026,gr-qc,gr-qc
816,809.0355,cs,cs
817,708.2576,astro-ph,astro-ph
818,706.3209,astro-ph,astro-ph
819,705.0622,cond-mat,cond-mat
820,710.2558,astro-ph,astro-ph
821,706.3874,math,math
822,712.1021,hep-th,hep-th
823,806.3592,math,math
824,704.0574,astro-ph,astro-ph
825,809.4573,astro-ph,astro-ph
826,802.4446,astro-ph,astro-ph
827,807.3343,astro-ph,astro-ph
828,810.1305,math,math
829,711.3346,astro-ph,astro-ph
830,802.2985,cond-mat,cond-mat
831,705.3746,cond-mat,cond-mat
832,801.2792,cond-mat,cond-mat
833,812.3785,math,math
834,807.2388,math,math
835,804.4614,physics,physics
836,808.0046,math,math
837,808.3711,cond-mat,cond-mat
838,810.0744,math-ph,math-ph
839,812.2391,cond-mat,cond-mat
840,808.0797,hep-ex,hep-ex
841,708.011,cond-mat,cond-mat
842,805.3668,hep-th,hep-th
843,710.1339,quant-ph,quant-ph
844,707.356,cs,cs
845,806.1689,astro-ph,astro-ph
846,809.1289,nlin,nlin
847,704.2743,math,math
848,811.0487,astro-ph,astro-ph
849,802.3979,hep-lat,hep-lat
850,706.2131,hep-ph,hep-ph
851,707.0243,hep-th,hep-th
852,705.0643,math,math
853,709.2565,hep-ex,hep-ex
854,802.418,physics,physics
855,804.4197,astro-ph,astro-ph
856,706.1201,cs,cs
857,808.0874,hep-ph,hep-ph
858,809.0303,hep-ph,hep-ph
859,807.1768,physics,physics
860,812.098,hep-ph,hep-ph
861,803.1809,hep-th,hep-th
862,707.2456,cond-mat,cond-mat
863,812.2296,cond-mat,cond-mat
